Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C18, C2, C21, C24, C26, C27, C28, C29, C31, C32, C33, C34, C35, C36, C37, C38, C45, C46, C47, C49, C5, C50, C51, C52, C53, C54, C59, C65, C66, C7",0603,38,100nF,C30926
"C17, C19, C60",0603,3,1uF,C15849
"C20, C43",0603,2,10uF,C19702
"C22, C30, C44",0603,3,22uF,C59461
"C3, C4",0603,2,30pF,C1658
C39,0603,1,2.2uF,C1607
C40,0603,1,5.6nF,C1628
"C41, C42, C8, C9",0603,4,4.7uF,C19666
C6,0603,1,3.3uF,C51412
C61,CP_Elec_5x4.5,1,100uF,C7469933
"D1, D10, D11, D12, D15, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",0603,16,LED,C84263
"D13, D14",D_SOD-882,2,PESD3V3U1UL,C552530
"D19, D20, D21, D22, D23, D24, D25",0603,7,LED,C965804
D26,0603,1,LED,C84266
"IC10, IC2, IC3",TI-UQFN-16,3,SN74AXC4T774RSVR,C1849454
IC13,TI-VQFN-HR-12,1,TPS2121RUXR,C485916
"J2, J66",Banana_Jack_1Pin,2,Conn_01x01_Socket,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,C124413
J47,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel Jack,C136744
J6,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x03,C5160786
J7,SMA_Amphenol_901-144_Vertical,1,Conn_Boaxial,C2987686
J73,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,C5116529
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C5184243
J9,PinHeader_2x04_P2.54mm_Vertical_SMD,1,Conn_02x04_Odd_Even,C192300
"L1, L2",0603,2,600nH,C280244
L3,L_Vishay_IHLP-2020,1,10uH,C844996
"R1, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R12, R13, R24, R25, R26, R3, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R45, R53, R65, R72, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R96, R97, R98, R99",0603,53,10k,C98220
"R10, R11, R116, R117, R14, R16, R30, R74, R75",0603,9,1k,C21190
"R111, R112, R113, R114, R115, R15, R17, R18, R19, R20, R21, R22, R23, R27, R63, R66, R77, R79, R95",0603,19,5k,C21190
R2,0603,1,12k 1%,C22790
"R28, R29, R78",0603,3,5k,C22975
"R4, R5, R70, R71",0603,4,25,C1203
"R43, R44, R58, R60",0603,4,5.1k,C23186
"R46, R61",0603,2,100k,C25803
"R47, R62, R69",0603,3,20k,C4184
R48,0603,1,51k,C23196
R49,0603,1,226k,C33619
R50,0603,1,49.9k,C23184
R51,0603,1,3.32M,C327396
R52,0603,1,1.33M,C482628
"R54, R55",0603,2,5k,C22843
R56,0603,1,59k,C23085
"R57, R59",0603,2,23.7k,C22912
"R6, R7, R8, R9",0603,4,23.7k,C269480
R64,0603,1,4.7k,C99782
R67,0603,1,44.2k,C844365
R68,0603,1,86.6k,C23121
RV1,Potentiometer_Bourns_3296W_Vertical,1,500k,C83694
"SW1, SW4, SW5, SW6, SW7",SW_Push_1P1T_NO_CK_KMR2,5,SW_Push,C221678
SW2,SW_TE_1825255-1,1,SW_DPST_x2,
"TP10, TP11, TP12, TP13, TP14, TP7, TP8, TP9",TestPoint_Keystone_5019_Miniature,8,5029,C238131
U1,LQFP-64_10x10mm_P0.5mm,1,FT4232HL,C56742
U10,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,SI5351A-B-GTR,C504891
"U11, U17",TSSOP-20_4.4x6.5mm_P0.65mm,2,74AHC244,C7475
U12,SOT-23-5,1,24AA02E-OT,C38987
"U14, U28, U8",VSSOP-10_3x3mm_P0.5mm,3,TS5A23159DGS,C42751
"U15, U16",BIWIN_DTS04GE_SMD,2,BIWIN_DTS04GE_SMD,C3294670
"U18, U19",SOT-23-5,2,74AHCT1G08,C113521
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVSIQ,C97521
U20,SOT-23-5,1,74AHC1G04,C7465
"U21, U22",Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,2,TCA9548ARGER,C555456
U23,CHEEP_CONNECTOR_MAINBOARD,1,~,
U24,Texas_R-PUQFN-N12,1,TXBN0304RUT,C201558
"U25, U26",Texas_R-PUQFN-N12,2,TXB0304RUT,C69598
"U3, U5",SOT-23-5,2,TLV75801PDBV,C2877852
U4,MAX17577-12-TDFN-EP,1,MAX17577,C2930958
"U6, U7",WQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,2,TCAL6416,C5956642
U9,SOT-353_SC-70-5,1,74AHCT1G08,C460499
X1,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,1,OK322532.768KJBA4SL,C725996
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,NX3225GA-25.000M-STD-CRG-2,C1985619
